,,,,,,,,,,,,,,,,,
 Customer Code , Billing Entity , Company Name , Division , Invoicing Type , Billing Currency , FirstName , LastName , Contact Name , Address , City , state , Country , Tax Number , Billing Start Date , Contract Date , Manager , Team Lead 
C-000487,VNC AU,3D FORMULATIONS PTY. LIMITED,ANZA,Recurring,AUD,Derek ,Arnnarle,Derek Arnnarle,"Unit 15, 33 Johnston Street Port",Melbourne,Victoria ,Australia,,Jan-26,23-Jan-26,Aamir Shaikh,Krupali Joshi
C-000498,VNC AU,A Man & His Cave Pty Ltd,ANZA,Recurring,AUD,Jaya, Yoannidis,Jaya Yoannidis,"1/396 Princes Hwy, St Peters",Sydney,New South Wales,Australia,,Jun-26,11-Jun-26,Aamir Shaikh,Krupali Joshi
C-000004,VNC AU,Abundant Advisory Pty Ltd,EFA,Recurring,AUD,Stephanie,Cruz,,"Suite 202, Level 2 West Lobby, 33 Lexington Dr, Bella Vista NSW 2153",Sydney,New South Wales,Australia,53636457595,May-20, 17-Apr-26 ,Rupali Parikh,Vinita Sharma
C-000495,VNC AU,Agilitas Australia,SCA,one Off,AUD,Brett, Gribb,Brett Gribb,VIC 3193,Melbourne,Victoria,Australia,,May-26,20-May-26,Aamir Shaikh,Aliakbar Vohra
C-000376,VNC AU,ALDCROFT HOLDINGS PTY LTD,ANZA,Recurring,AUD,Sandy,Aldcroft,Sandy Aldcroft,PO BOX 569 WEIPA     QLD 4874 Australia,Weipa,Queensland,Australia,42119419064,Nov-24,29-Jun-25,Aamir Shaikh,Krupali Joshi
C-000484,VNC GL,Audien LLC (Audien Hearing) ,SCA,Recurring,USD,,,Mike Garcia,10733 N Frank Lloyd Wright Blvd Unit 103,Scottsdale,Arizona,USA,,Dec-25,5-Jun-26,Aamir Shaikh,Ganesh Rathore
C-000324,VNC AU,Aussie Pallets,ANZA,Recurring,AUD,,,James Love,10 Normanby Ave SUNSHINE WEST VIC 3020 AUSTRALIA ABN: 19 006 902 601,Melbourne,Victoria,Australia,19006902601,Jun-24,23-Jun-26,Aamir Shaikh,Krupali Joshi
C-000378,VNC AU,B.O DREW & L.A DREW,ANZA,Recurring,AUD,Bruce,Drew,Bruce Drew,200 Kowari Road Finch HAtton QLD 4756, Finch HAtton,Queensland,Australia,70655462858,Dec-24,16-Jul-25,Aamir Shaikh,Krupali Joshi
C-000325,VNC AU,Bioplant Limited,ANZA,Recurring,AUD,Stephen,McIntyre,Allan Clarke,L2/1 Southbank Blvd Southbank Melbourne VIC 3006 Australia,Melbourne,Victoria,Australia,97133339134,Jul-24,24-Jun-25,Aamir Shaikh,Krupali Joshi
C-000021,VNC AU,Blue Mountain Company,MBS,Recurring,AUD,Accounts,At BMCO,Jackie Hammond,"30 Finchley Street, Milton",Brisbane,Queensland,Australia,16671677428,Feb-22,16-Aug-22,Jimmy Vadera,Jimmy Vadera
C-000445,VNC AU,BNI Group LYD Pty Ltd,ANZA,Recurring,AUD,FLORIJE ,TUNUZLIU-JUSUFI,Florije Tunuzliu-Jusufi,U21702 ORCHID AVE SURFERS PARADISE ,Brisbane,Queensland,Australia,,Aug-25,12-Aug-25,Aamir Shaikh,Krupali Joshi
C-000025,VNC GL,Cambie Distribution,SCA,Recurring,USD,,,David Foley ," 
1711 Erie Street","Stratford, ON, ",Ontario,Canada,,Oct-24,26-Mar-24,Aamir Shaikh,Ganesh Rathore
C-000476,VNC GL,Chef Works Pte Ltd,SCA,One off,USD,,,Anthony Stiefel ,3B Temple Street,,,Singapore,,Nov-25,24-Oct-25,Aamir Shaikh,Aliakbar Vohra
C-000034,VNC GL,CLA Global TS Holdings Pte. Ltd.,MBS,Recurring,USD,,,Grace Lui,"80 Robinson Road, #25-00",Singapore,,Singapore,,Jun-23,,Jimmy Vadera,Ravina Kahar
C-000353,VNC AU,Clarendon Enterprises Pty Ltd T/A Integrate Health,ANZA,Recurring,AUD,Iain,Clarendon,Iain Clarendon,51 Crowleys Road    Racecourse QLD 4740,Mackay,Queensland,Australia,82104516458,Nov-24,30-Jun-25,Aamir Shaikh,Krupali Joshi
C-000036,VNC AU,Collard Family Trust and Warwick Family Trust Trading As Reconciled Business Services,MBS,Recurring,AUD,Janet,Collard,,PO Box 722 ORMEAU QLD 4208 AUSTRALIA,,,Australia,85915667574,Feb-17,23-May-25,Jimmy Vadera,Ravina Kahar
C-000039,VNC GL,Coloxchange Nevada Inc,EFA,Recurring,USD,,,Navroz Haji,"823 Pilot Road, (Suite A)",Las Vegas,Nevada,USA,,Jul-22,5-Mar-25,Rupali Parikh,Rupali Parikh
C-000326,VNC AU,CommunityOSH Pty Ltd,ANZA,Recurring,AUD,Jock,Jeffries,Jock Jeffries,3 Wiltshire St RICHMOND VIC 3121 AUSTRALIA,Melbourne,Victoria,Australia,66618758786,Jun-24,20-Jun-25,Aamir Shaikh,Krupali Joshi
C-000345,VNC AU,Digital Preservation Coalition,ANZA,Recurring,AUD,John,McMillan,John McMillan,Parkville ,Melbourne,Victoria,Australia,,Oct-24,16-Jun-26,Aamir Shaikh,Krupali Joshi
C-000383,VNC AU,"DINGLE,GARY R",ANZA,Recurring,AUD,Gary,Dingle,Gary Dingle,2 WILLS RD    Rosedale QLD 4674 Australia,Rosedale,Queensland,Australia,66231434504,Dec-24,3-Jul-25,Aamir Shaikh,Krupali Joshi
C-000494,VNC AU,Empire Accounting,EFA,Recurring,AUD,Kerryn ,Searle,Kerryn Searle,"428a Marine Parade, South New Brighton",Christchurch,South Island,New Zealand,,May-26,19-May-26,Rupali Parikh,Vinita Sharma
C-000489,VNC GL,Ethos Car Care,SCA,Recurring,USD,,,Tim Coats, 2332 La Mirada Dr,Vista,California,USA,,Feb-26,24-Feb-26,Aamir Shaikh,Ganesh Rathore
C-000374,VNC AU,First Connections Early Learning Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,,,,,Australia,,Apr-25,,Rupali Parikh,Vinita Sharma
C-000374,VNC AU,First Connections Early Learning Pty Ltd,EFA,Recurring,AUD,Julie ,Karim,,,,,Australia,,Apr-25,,Rupali Parikh,Vinita Sharma
C-000060,VNC GL,Flex-Tec Inc,EFA,Recurring,USD,,,"
Bob Green",ONE VANCE ST ,BYROMVILLE,Georgia,USA,,Mar-17,13-Feb-26,Rupali Parikh,Vruddhi Parvatia
